Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,246,0,85,148.9562638226056,62.119799986248836,1636.2344000081066,418.719512195122,8.448474508548637,0.0,86,100,110,120,150,210,1300,1500,1600,1600,1600
,Aggregated,246,0,85,148.9562638226056,62.119799986248836,1636.2344000081066,418.719512195122,8.448474508548637,0.0,86,100,110,120,150,210,1300,1500,1600,1600,1600
